Fecha,S&P Colombia Sovereign Bond Index
6/03/2014,942.3
7/03/2014,941.79
10/03/2014,941.69
11/03/2014,942.28
12/03/2014,942.64
13/03/2014,942
14/03/2014,943.24
17/03/2014,943.74
18/03/2014,943.72
19/03/2014,951.64
20/03/2014,956.72
21/03/2014,958.33
24/03/2014,959.03
25/03/2014,961.33
26/03/2014,966.08
27/03/2014,967.99
28/03/2014,967.04
31/03/2014,966.59
1/04/2014,970.02
2/04/2014,969.35
3/04/2014,969.14
4/04/2014,970.28
7/04/2014,975.73
8/04/2014,977.76
9/04/2014,980.31
10/04/2014,978.47
11/04/2014,977.46
14/04/2014,977.25
15/04/2014,976.04
16/04/2014,976.96
17/04/2014,976.84
18/04/2014,977.04
21/04/2014,978.34
22/04/2014,976.77
23/04/2014,976.5
24/04/2014,974.5
25/04/2014,975.09
28/04/2014,971.03
29/04/2014,970.63
30/04/2014,970.65
1/05/2014,971.01
2/05/2014,971.31
5/05/2014,971.77
6/05/2014,973.38
7/05/2014,974.54
8/05/2014,976.97
9/05/2014,977.85
12/05/2014,974.9
13/05/2014,974.31
14/05/2014,973.18
15/05/2014,974.3
16/05/2014,972.71
19/05/2014,973.63
20/05/2014,976
21/05/2014,976.9
22/05/2014,979.29
23/05/2014,977.36
26/05/2014,977.4
27/05/2014,976.63
28/05/2014,976.72
29/05/2014,978.96
30/05/2014,978.4
2/06/2014,978.3
3/06/2014,976.54
4/06/2014,975.91
5/06/2014,977.43
6/06/2014,979.45
9/06/2014,980.13
10/06/2014,979.04
11/06/2014,979.06
12/06/2014,980.37
13/06/2014,979.02
16/06/2014,975.91
17/06/2014,968.95
18/06/2014,969.81
19/06/2014,971.42
20/06/2014,972.14
23/06/2014,972.67
24/06/2014,973.56
25/06/2014,972.94
26/06/2014,971.92
27/06/2014,972.13
30/06/2014,972.28
1/07/2014,975.41
2/07/2014,972.13
3/07/2014,971.06
4/07/2014,973.49
7/07/2014,976.59
8/07/2014,975.75
9/07/2014,973.54
10/07/2014,975.09
11/07/2014,975.67
14/07/2014,976.55
15/07/2014,975.56
16/07/2014,975.92
17/07/2014,975.59
18/07/2014,976.42
21/07/2014,978.48
22/07/2014,981.03
23/07/2014,980.91
24/07/2014,979.63
25/07/2014,981.55
28/07/2014,982.82
29/07/2014,981.25
30/07/2014,978.12
31/07/2014,977.17
1/08/2014,977.65
4/08/2014,977.86
5/08/2014,977.29
6/08/2014,977.74
7/08/2014,977.53
8/08/2014,977.43
11/08/2014,978.2
12/08/2014,978.83
13/08/2014,978.96
14/08/2014,979.73
15/08/2014,981.86
18/08/2014,981.5
19/08/2014,982.91
20/08/2014,981.12
21/08/2014,981.25
22/08/2014,983.31
25/08/2014,983.26
26/08/2014,984.72
27/08/2014,986.9
28/08/2014,989.71
29/08/2014,990.19
1/09/2014,992.03
2/09/2014,988.91
3/09/2014,989.98
4/09/2014,989.67
5/09/2014,991.65
8/09/2014,991.68
9/09/2014,987.58
10/09/2014,988.23
11/09/2014,988.63
12/09/2014,987.21
15/09/2014,987.06
16/09/2014,988.63
17/09/2014,989.42
18/09/2014,989.92
19/09/2014,990.04
22/09/2014,989.18
23/09/2014,989.88
24/09/2014,988.26
25/09/2014,986.75
26/09/2014,986.78
29/09/2014,981.65
30/09/2014,982.63
1/10/2014,984.46
2/10/2014,987.49
3/10/2014,986.94
6/10/2014,987.72
7/10/2014,988.19
8/10/2014,987.71
9/10/2014,988.91
10/10/2014,987.6
13/10/2014,987.92
14/10/2014,989.51
15/10/2014,990.95
16/10/2014,990.53
17/10/2014,992.3
20/10/2014,993.1
21/10/2014,995.2
22/10/2014,993.98
23/10/2014,993.58
24/10/2014,995
27/10/2014,994.22
28/10/2014,995.49
29/10/2014,996.47
30/10/2014,996.87
31/10/2014,998.35
3/11/2014,998.76
4/11/2014,999.62
5/11/2014,1001.52
6/11/2014,1001.88
7/11/2014,1002.36
10/11/2014,1003.96
11/11/2014,1003.83
12/11/2014,1005.72
13/11/2014,1006
14/11/2014,1003.59
17/11/2014,1004.47
18/11/2014,1004.33
19/11/2014,1004.61
20/11/2014,1007.54
21/11/2014,1009.13
24/11/2014,1010.55
25/11/2014,1010.89
26/11/2014,1010.13
27/11/2014,1009.56
28/11/2014,1008.19
1/12/2014,1008.08
2/12/2014,1007.15
3/12/2014,1007.02
4/12/2014,1006.89
5/12/2014,1003.22
8/12/2014,1003.7
9/12/2014,995.74
10/12/2014,989.99
11/12/2014,990.8
12/12/2014,991.31
15/12/2014,990.13
16/12/2014,988.15
17/12/2014,988.43
18/12/2014,991.58
19/12/2014,991.36
22/12/2014,991.07
23/12/2014,990.37
24/12/2014,990.38
25/12/2014,990.53
26/12/2014,990.87
29/12/2014,990.81
30/12/2014,989.71
31/12/2014,989.69
1/01/2015,989.84
2/01/2015,990.05
5/01/2015,990.66
6/01/2015,989.77
7/01/2015,992.07
8/01/2015,994.64
9/01/2015,998.95
12/01/2015,999.76
13/01/2015,999.75
14/01/2015,1001.2
15/01/2015,1004.74
16/01/2015,1005.59
19/01/2015,1006.32
20/01/2015,1009.12
21/01/2015,1009.12
22/01/2015,1011.57
23/01/2015,1018.9
26/01/2015,1019.75
27/01/2015,1020.79
28/01/2015,1021.21
29/01/2015,1020.55
30/01/2015,1020.62
2/02/2015,1022.49
3/02/2015,1021.59
4/02/2015,1020.19
5/02/2015,1020.88
6/02/2015,1017.72
9/02/2015,1014.83
10/02/2015,1013.43
11/02/2015,1013.3
12/02/2015,1015.48
13/02/2015,1017.81
16/02/2015,1018.91
17/02/2015,1019.22
18/02/2015,1017.67
19/02/2015,1018.96
20/02/2015,1020
23/02/2015,1020.19
24/02/2015,1023.09
25/02/2015,1025.21
26/02/2015,1024.99
27/02/2015,1025.33
2/03/2015,1025.27
3/03/2015,1022.52
4/03/2015,1020.34
5/03/2015,1020.42
6/03/2015,1012.9
9/03/2015,1012.91
10/03/2015,1013.03
11/03/2015,1013.39
12/03/2015,1013.14
13/03/2015,1013.1
16/03/2015,1013.43
17/03/2015,1014.02
18/03/2015,1014.55
19/03/2015,1014.66
20/03/2015,1014.14
23/03/2015,1015.62
24/03/2015,1017.03
25/03/2015,1015.15
26/03/2015,1014.74
27/03/2015,1010.66
30/03/2015,1010.32
31/03/2015,1010.56
1/04/2015,1011.16
2/04/2015,1012.33
3/04/2015,1012.53
6/04/2015,1014.85
7/04/2015,1016.83
8/04/2015,1018.01
9/04/2015,1018.79
10/04/2015,1018.5
13/04/2015,1021.14
14/04/2015,1021.22
15/04/2015,1022.59
16/04/2015,1024.88
17/04/2015,1024.49
20/04/2015,1024.96
21/04/2015,1024.83
22/04/2015,1024.49
23/04/2015,1025.62
24/04/2015,1027.22
27/04/2015,1027.5
28/04/2015,1027.08
29/04/2015,1027.76
30/04/2015,1027.16
1/05/2015,1027.1
4/05/2015,1025.03
5/05/2015,1023.51
6/05/2015,1022.02
7/05/2015,1022.45
8/05/2015,1024.15
11/05/2015,1023.6
12/05/2015,1021.8
13/05/2015,1022.09
14/05/2015,1022.67
15/05/2015,1023.38
18/05/2015,1024.76
19/05/2015,1023.84
20/05/2015,1023.36
21/05/2015,1024.19
22/05/2015,1024.11
25/05/2015,1024.52
26/05/2015,1024.13
27/05/2015,1024.41
28/05/2015,1025.39
29/05/2015,1026.24
1/06/2015,1025.22
2/06/2015,1024.67
3/06/2015,1022.96
4/06/2015,1022.38
5/06/2015,1021.84
8/06/2015,1021.74
9/06/2015,1021.34
10/06/2015,1021.28
11/06/2015,1021.35
12/06/2015,1021.91
15/06/2015,1022.63
16/06/2015,1021.02
17/06/2015,1020.44
18/06/2015,1020.47
19/06/2015,1020.84
22/06/2015,1021.13
23/06/2015,1021.08
24/06/2015,1019.82
25/06/2015,1018.09
26/06/2015,1017.8
29/06/2015,1017.39
30/06/2015,1018.09
1/07/2015,1016.96
2/07/2015,1016.81
3/07/2015,1016.06
6/07/2015,1015.93
7/07/2015,1016.79
8/07/2015,1017.27
9/07/2015,1017.89
10/07/2015,1017.87
13/07/2015,1018.57
14/07/2015,1019.17
15/07/2015,1020.22
16/07/2015,1020.38
17/07/2015,1020.55
20/07/2015,1021.02
21/07/2015,1021.5
22/07/2015,1022.99
23/07/2015,1025.74
24/07/2015,1024.36
27/07/2015,1024.2
28/07/2015,1024.64
29/07/2015,1025.44
30/07/2015,1025.43
31/07/2015,1026.05
3/08/2015,1024.31
4/08/2015,1022.46
5/08/2015,1021.91
6/08/2015,1019.76
7/08/2015,1019.51
10/08/2015,1019.41
11/08/2015,1019.81
12/08/2015,1020.96
13/08/2015,1018.69
14/08/2015,1018.53
17/08/2015,1018.94
18/08/2015,1019.26
19/08/2015,1019.62
20/08/2015,1018.96
21/08/2015,1015.02
24/08/2015,1009.23
25/08/2015,1008
26/08/2015,1006.02
27/08/2015,1006.86
28/08/2015,1008.29
31/08/2015,1008.39
1/09/2015,1007.51
2/09/2015,1003.75
3/09/2015,1004.55
4/09/2015,1003.21
7/09/2015,1000.26
8/09/2015,995.73
9/09/2015,996.4
10/09/2015,997.55
11/09/2015,998.45
14/09/2015,997.97
15/09/2015,997.92
16/09/2015,998.25
17/09/2015,1002.26
18/09/2015,1002.64
21/09/2015,1004.67
22/09/2015,1003.45
23/09/2015,1005.29
24/09/2015,1003.18
25/09/2015,1003.54
28/09/2015,1002.86
29/09/2015,1001.99
30/09/2015,1002.16
1/10/2015,1002.77
2/10/2015,1004.36
5/10/2015,1004.06
6/10/2015,1009.31
7/10/2015,1009.86
8/10/2015,1009.97
9/10/2015,1010.95
12/10/2015,1014.81
13/10/2015,1015.04
14/10/2015,1013.83
15/10/2015,1016.33
16/10/2015,1016.44
19/10/2015,1014.68
20/10/2015,1013.6
21/10/2015,1014.24
22/10/2015,1014.65
23/10/2015,1014.77
26/10/2015,1016.82
27/10/2015,1016.77
28/10/2015,1016.96
29/10/2015,1017.27
30/10/2015,1017.32
2/11/2015,1017.89
3/11/2015,1018.11
4/11/2015,1017.95
5/11/2015,1018.14
6/11/2015,1015.67
9/11/2015,1013.76
10/11/2015,1013.96
11/11/2015,1012.99
12/11/2015,1012.63
13/11/2015,1009.66
16/11/2015,1008.72
17/11/2015,1008.1
18/11/2015,1008.3
19/11/2015,1007.86
20/11/2015,1008.07
23/11/2015,1008.66
24/11/2015,1007.59
25/11/2015,1007.24
26/11/2015,1007.27
27/11/2015,1007.47
30/11/2015,1007.52
1/12/2015,1007.23
2/12/2015,1008.61
3/12/2015,1008.47
4/12/2015,1007.92
7/12/2015,1008.52
8/12/2015,1007.73
9/12/2015,1007.69
10/12/2015,1007.89
11/12/2015,1008.09
14/12/2015,1008.69
15/12/2015,1008.49
16/12/2015,1008.69
17/12/2015,1007.15
18/12/2015,1005.4
21/12/2015,1002.56
22/12/2015,1002.77
23/12/2015,1002.97
24/12/2015,1003.17
25/12/2015,1003.34
28/12/2015,1003.99
29/12/2015,999.65
30/12/2015,999.86
31/12/2015,999.85
1/01/2016,1000.02
4/01/2016,1002.52
5/01/2016,1002.73
6/01/2016,1002.94
7/01/2016,1003.14
8/01/2016,996.97
11/01/2016,997.63
12/01/2016,997.31
13/01/2016,997.52
14/01/2016,996.81
15/01/2016,997.02
18/01/2016,997.66
19/01/2016,995.65
20/01/2016,993.28
21/01/2016,991.45
22/01/2016,993.94
25/01/2016,994.49
26/01/2016,991.66
27/01/2016,992.37
28/01/2016,995
29/01/2016,996.17
1/02/2016,996.38
2/02/2016,996.61
3/02/2016,996.82
4/02/2016,996.82
5/02/2016,997.27
8/02/2016,998.06
9/02/2016,998.12
10/02/2016,998.34
11/02/2016,996.22
12/02/2016,983.28
15/02/2016,983.94
16/02/2016,984.16
17/02/2016,985.25
18/02/2016,985.47
19/02/2016,985.69
22/02/2016,986.35
23/02/2016,986.57
24/02/2016,987.48
25/02/2016,987.5
26/02/2016,988.22
29/02/2016,986.09
1/03/2016,988.37
2/03/2016,992.18
3/03/2016,992.51
4/03/2016,995.96
7/03/2016,999.31
8/03/2016,1000.81
9/03/2016,1004.36
10/03/2016,1007.69
11/03/2016,1010.36
14/03/2016,1010.12
15/03/2016,1005.89
16/03/2016,1009.34
17/03/2016,1016.38
18/03/2016,1021.14
21/03/2016,1022.03
22/03/2016,1019.48
23/03/2016,1018.12
24/03/2016,1018.47
25/03/2016,1018.69
28/03/2016,1019.48
29/03/2016,1019.33
30/03/2016,1020.48
31/03/2016,1022.12
1/04/2016,1024.06
4/04/2016,1025.84
5/04/2016,1028.12
6/04/2016,1027.7
7/04/2016,1025.3
8/04/2016,1022.73
11/04/2016,1022.61
12/04/2016,1023.14
13/04/2016,1024.41
14/04/2016,1026.21
15/04/2016,1026.41
18/04/2016,1028.44
19/04/2016,1030.33
20/04/2016,1031.98
21/04/2016,1030.06
22/04/2016,1029.18
25/04/2016,1029.36
26/04/2016,1029.1
27/04/2016,1030.37
28/04/2016,1032.67
29/04/2016,1034.19
2/05/2016,1034.08
3/05/2016,1032.85
4/05/2016,1030.66
5/05/2016,1030.96
6/05/2016,1032.54
9/05/2016,1034.04
10/05/2016,1035.95
11/05/2016,1036.16
12/05/2016,1038.7
13/05/2016,1039.59
16/05/2016,1040.34
17/05/2016,1042.21
18/05/2016,1041.6
19/05/2016,1041.18
20/05/2016,1040.45
23/05/2016,1039.63
24/05/2016,1039.77
25/05/2016,1039.18
26/05/2016,1040.31
27/05/2016,1040.16
30/05/2016,1040.19
31/05/2016,1041.56
1/06/2016,1044.94
2/06/2016,1048.29
3/06/2016,1051.42
6/06/2016,1052.23
7/06/2016,1051.29
8/06/2016,1052.27
9/06/2016,1052.82
10/06/2016,1050.41
13/06/2016,1049.56
14/06/2016,1054.11
15/06/2016,1054.33
16/06/2016,1052.63
17/06/2016,1052.02
20/06/2016,1052.9
21/06/2016,1050.17
22/06/2016,1049.54
23/06/2016,1050.05
24/06/2016,1051.59
27/06/2016,1055.29
28/06/2016,1066.76
29/06/2016,1079.85
30/06/2016,1077.75
1/07/2016,1078.76
4/07/2016,1080.34
5/07/2016,1080
6/07/2016,1079.22
7/07/2016,1077.69
8/07/2016,1080.41
11/07/2016,1080.08
12/07/2016,1078.86
13/07/2016,1077.63
14/07/2016,1077.74
15/07/2016,1076.09
18/07/2016,1073.28
19/07/2016,1072.61
20/07/2016,1073.17
21/07/2016,1079.09
22/07/2016,1084.08
25/07/2016,1081
26/07/2016,1080.04
27/07/2016,1079.2
28/07/2016,1077.14
29/07/2016,1076.52
1/08/2016,1072.77
2/08/2016,1071.23
3/08/2016,1071.5
4/08/2016,1073.8
5/08/2016,1076.02
8/08/2016,1078.15
9/08/2016,1079.94
10/08/2016,1080.28
11/08/2016,1080.03
12/08/2016,1080.61
15/08/2016,1081.23
16/08/2016,1082.37
17/08/2016,1085.6
18/08/2016,1090.72
19/08/2016,1092.58
22/08/2016,1093.98
23/08/2016,1094.23
24/08/2016,1093.93
25/08/2016,1095.63
